;Tweets;Weekday;Month;DayOfMonth;Hour;Min;Sec;Year;sentiment
10346;Jahaha gatau deh RT"@graccrav_vina: @olafabiolaaaaa haha, jd bnyk yng add aku xP";Tue;Jan;24;13;43;22;2012;0.6808
10347;Behalian RT@Yennypp: sama pada :p RT: @noo_nu: @Yennypp hahahahaha..... Namax jg sdh semester bnyak!! Smpai lupa ak ni skrg smster brapa..;Tue;Jan;24;13;43;57;2012;0.3786
10348;@melmelmags stock apa coba ? Hhahahaha..yg bnyak @mariacextro tauuu.. Pinterr lgii si nenek.. Wkwkwkkwwkkwk..;Tue;Jan;24;13;44;20;2012;0.0
10349;lu eskul wajibnya ikut apa ? RT @Dhea_Walukaw @nadeya_ysrya apaa?;Fri;Aug;31;14;23;33;2012;0.0
10350;Pasrah aja kaliya minggu dpn udh bnyk UH1++++++Tryout di go;'/;'&gt;;Fri;Aug;31;14;26;11;2012;0.0
10351;wkwk , vebiee kan di sd bnyk mantannya taoo !! :p . RT @RFD_RFD_RFD : Males ape gk laku hahahha *ngakakk Rt "@Vebieyolanda: @Nisa_sie haha;Fri;Aug;31;14;29;34;2012;0.6792
10352;Oh udah 175 blum ongkir RT @Mrwyne: Cek di ms cycles deh bro slnya beda2 harga nya mcem nya juga bnyak RT @mosfet_bali: Win Topi cult berapa;Fri;Aug;31;14;29;43;2012;0.5859
10353;@syu_mahamood hse tu bnyk kotttttttt.... tp probstat lg critical.;Fri;Aug;31;14;30;46;2012;-0.3182
10354;"Kau tdk tahu cara menyukai seseorang. Kau sdh menyakitinya begitu bnyk, tp kau ttp tdk menyadarinya" #FullHouse;Fri;Aug;31;14;31;26;2012;0.0
10355;Like this!!!@_aneh: Masalah sholat atau tidak itu urusan diri masing-masing dan tanggung jawabnya sama ALLAH, bukan sama manusia.;Fri;Aug;31;14;32;9;2012;0.5229
10356;@tqeguh jaslabnya aja 55rb, GG nya 10rb. Kalo beli 2 2nya 60rb. Mau pesen yg size apa?;Fri;Aug;31;14;34;32;2012;0.4466
10357;@fasihahrais adik buat open house??? Wahh bnyak nye duit adek. :O hehek;Fri;Aug;31;14;35;18;2012;-0.3966
10358;@Maikel_Mich msh bnyak mich yg blom wkwkwk;Fri;Aug;31;14;35;58;2012;0.0
10359;@1bnyce http://t.co/P6vER3bo;Fri;Aug;31;14;36;2;2012;0.0
10360;gua blm tau nmor hp tmen2 skelas wkwk, emg kls gue kak yg paling bnyak?RT @kkaika: Ama siapa kek yg ikutan kan kelas lu banyak RT dimasbayuu;Fri;Aug;31;14;36;35;2012;0.0
10361;@ArifKurniaawan suara asli ny jgn di kluarin bang,tkut bnyk yng tau :p;Fri;Aug;31;14;36;54;2012;0.25
10362;Ke4, gaul deh sm temen2 yg dr http://t.co/PAaa60aK . Ramah2, bnyak program kunjung mengunjung antar negara. Asyik #Jamuran;Fri;Aug;31;14;37;10;2012;0.0
10363;RT @KaskusUnited: "Tapi ketika kami ganti cara bermain kami, ga cocok buat doi. Kemanapun berba pergi, dia bakalan bagus u/ klubnya - SAF;Fri;Aug;31;14;37;20;2012;0.0
10364;I sok tau li ..bukan lahRT @cahyaa_Ningsih: Gra.gra kebnyakan tdr tu wok wkwkRT @aryapramanta: Antara sehat dan ... http://t.co/zNxIZWEz;Fri;Aug;31;14;41;39;2012;0.3182
10365;Amin"@ARamaa_11: Insyaallah pasti minn :D"@SmantaBasketbal: Besok harus menang teman-teman ! ;) jangan nyerah walaupun lwannya bnyak ;) :D"";Fri;Aug;31;14;41;43;2012;0.4753
10366;@SSN_NicoleKara kget nun -__- bnyk skali;Fri;Aug;31;14;42;12;2012;0.0
10367;Ohh samsung type apa nihh? RT @dwiknubitol: @mynameisrininta bbnya rusak beraaaat;Fri;Aug;31;14;42;37;2012;0.0
10368;awat tweet ang bnyk sgt @NajwaMF;Fri;Aug;31;14;43;33;2012;0.0
10369;http://t.co/1CmDFIRQ
  Morgan Stanley is Insolvent – Only a Matter of Time...mega-banks in the US have filed resolution plans with the Fed;Fri;Aug;31;22;41;3;2012;0.0258
10370;"@DreamsGirl4: “@At3bnyGfaaak: http://t.co/5CsmF1vH”";Fri;Aug;31;22;41;25;2012;0.0
10371;@lacakbalak wah bnyak jg ya mabanya ..;Fri;Aug;31;22;41;48;2012;0.0
10372;Them damn wells fargo ppl had me on the phone for 34 min....and I still didnt get wat I was lookn for:/;Fri;Aug;31;22;44;39;2012;-0.1779
10373;@SpadesHiro desu!! &gt;w&lt;)/ sampai bertemu ntar ya.. Btw kmrn neechan ngeliat gacha bnyk bngt ._.;Fri;Aug;31;22;50;13;2012;0.0
10374;Woooh bnyk jg yg tekon hihihihihi;D^^;Fri;Aug;31;22;51;0;2012;0.0
10375;RT @_Ikramuddin: Ane kira td asap pabrik ..
eh ternyta kebakaran benerann ..
yg skolah hati2 dijalan,bnyak mobil BPK ..;Fri;Aug;31;22;51;39;2012;0.0
10376;Luar biasaa trefik jobnya! RT @robieamoriza: Ke bdg dulu yakzz,bsk ngupi n martabakan :p @ronnycokelat ? ... http://t.co/YMGRpQgS;Fri;Aug;31;22;54;6;2012;0.3164
10377;@citizen_dENzel replied;Fri;Aug;31;22;54;16;2012;0.0
10378;#septemberwish semoga bnyk kebahagiaan <U+2665>;Fri;Aug;31;23;4;24;2012;0.0
10379;antara bnyk2 game di fb ni sejak penglibatan kamu dlm fb.. game apa yg paling kamu addicted? klu sy dulu barn... http://t.co/YJMtNTe1;Sat;Sep;1;7;0;14;2012;0.0
10380;Still not on bandung jeell.. Masih dlm penugasan.. Gmn latgabnya td?? RT @sarahzielda: @anggaraindra woooyyy pa koor;Sat;Sep;1;7;2;0;2012;0.0
10381;Untung bnyk cewe2 cakep, mayan buat rfreshing :p RT "@Orchidia_Cindy: Kasiann hahahah~&gt; RT @BagasBigananda: Katanya sebentar, gak taunya lam;Sat;Sep;1;7;2;35;2012;0.25
10382;Haha aduh orang orang pada bohong itu :D RT @marianaagastya: bukan nya ngaku, tp bnyk orang bilang gt :D RT (cont) http://t.co/abpQ3klE;Sat;Sep;1;7;2;42;2012;0.9211
10383;TL Slow,bnyk orang hang hariniy. -.-;Sat;Sep;1;7;3;8;2012;0.0
10384;"Jelek dong yah? RT @missyoanna: Iyeh d pinggir2'ne bnyk smph2 plstik gt @hazeemahkam";Sat;Sep;1;7;3;14;2012;0.2732
10385;@cjrALDI_Bastian foleback donk pengen bnyk nanya;Sat;Sep;1;7;6;41;2012;0.0
10386;"@DwandaBrian: @rinmaharani @windaciil @nikensptn stan tu bnyk gosip klo soal penerimaan mahasiswa baru, mending tunggu info yg resmi aja";Sat;Sep;1;7;7;16;2012;0.0
10387;RT @Nia_Izlin: Setitik air mata perempuan jatuh kerana laki yg disayanginya , lelaki itu akan disebat dgn tulang rusuk pompuan sbnyk 100 ...;Sat;Sep;1;7;8;0;2012;0.0
10388;“@GSElevator: #1: Don't worry ladies, these drinks are on Goldman Sachs.” actually used this line Thurs night. #nolie #thanksuncleBlankfein;Sat;Sep;1;7;8;22;2012;0.3412
10389;Lama2 bnr2 jg ilfeeel sama km . Hisss . Lbh bnyk pngrbnanku ktimbang kamu ndes !;Sat;Sep;1;7;11;33;2012;0.0
10390;Kok Masih muda bnyak penyakit yg menyerang sh ??? %) RT@zubaidahcantik;Sat;Sep;1;7;13;6;2012;-0.2359
10391;@htlstateofmind go to wells fargo! They pretty much dod the work for you!;Sat;Sep;1;7;13;38;2012;0.6988
10392;Dimanaaa? "@endaahwm: Haaay sayaaang :*:*RT @vyarafli: Halo endah {} "@endaahwm: Haloo knapa ni? :O kyknya udah bnyak ktinggalan cerita yaa;Sat;Sep;1;7;13;53;2012;-0.3597
10393;@abangApple  ciiiiaaaa...kelamaan jawabnya..udah di bawa k jakarta..;Sat;Sep;1;7;13;54;2012;0.0
10394;Search Banking Job $ North Manahttan - Personal Banker - One Penn Plaza - 40 hours at Bank of America (New York, NY)  http://t.co/QeLKn99t;Sat;Sep;1;7;14;36;2012;0.0
10395;ouwch RT @CHAdikyU109_ELF gk lch,,sory aj RT @YutheyBDW: mau ? ;;) RT @CHAdikyU109_ELF yg bnyak yw RT;Sat;Sep;1;7;17;59;2012;0.4215
10396;Di Singapur bnyk amat koko-koko tp pas ngomong itu lohhh, logat singlishnya yg bikin terharu tingkat tinggi hihihi.;Sat;Sep;1;7;20;11;2012;0.0
10397;@ninaafitrianii disuru bawa goni juga sih, tp abistu disuru ngutip sampah yd ada d fakultas aja. Ga ada yg aneh. kbnykan indoor;Sat;Sep;1;15;46;27;2012;0.0
10398;@Lallabeela aku suke yg bnyk shoot tu, ade stu tu @itsNurulJasmine  muke awak gila hikhik;Sat;Sep;1;15;48;9;2012;-0.34
10399;@Alynfreekiee global semue?!?!?!? aku dgr bnyk blaja bonding :O even fr other schs.;Sat;Sep;1;15;48;40;2012;-0.6084
10400;wah kmu yg ke brp yaa.aku bnyak jg sihhh RT @chaterinee13: yaampun kamu lesbi juga? asikasik kamu bebi aku yang ke6 ya RT @oporayam__;Sat;Sep;1;15;50;49;2012;0.0
10401;@iwangcool bbnya mamaku;Sat;Sep;1;15;51;20;2012;0.0
10402;Kau kutuk orang boleh. Kau ta tau yg orang lagi bnyk kutuk kau belakang belakang. Bodoh -.-;Sat;Sep;1;15;51;22;2012;0.0
10403;@joeajee bwakaka bentar yoo..bbnya baru di cas..gw dapet potonya @taraeunjung1212 3seri tapi posenya sama..cuma beda di backgroundnya aja :|;Sat;Sep;1;15;52;41;2012;-0.1027
10404;Eadaa tifah(´<U+032F>-<U+032E>`<U+032F>)RT @nurlatifahzamil: RT @Fitrinralvd: Pas udh lebaran temen-temen gue bnyk yg pcrn ya... Gue kapan?sial-_-";Sat;Sep;1;15;52;49;2012;0.0
10405;Fb bnyk orng alay dn gaje ( ¬_¬) RT "@mauuNANYA: Kenapa kamu lebih menyukai twitter daripada fb ? #mNNY";Sat;Sep;1;15;53;38;2012;0.0
10406;nikmati saja sensasinya melongo liat mama saya ber-gangnam style . kalo ada flashmobnya, mama aja lah yg ikut --;Sat;Sep;1;15;56;10;2012;0.0
10407;@Eky_PutriW iya bnerr cari duitt dulu yg bnyakk !!;Sat;Sep;1;15;57;4;2012;0.0
10408;Papa Ks bgtuko silo heheheheh RT @ItsMe_Ikhaa: Msih bnyak ji cwe yg jauh lbih baik dr sy kasian <U+2323>´_<U+2323>` nda usahmi smpe sgtunya :/";Sat;Sep;1;15;59;25;2012;0.0
10409;Kamu ambil saladnya yg kurang bnyk :p RT @septilovesepti: mangkoknya kurang gede sebenernya :D RT @sucinanda @hana_chivas;Sat;Sep;1;16;3;14;2012;0.7213
10410;Udh bs bbnya? RT"@vanitacrs: Haayyy{} chat ajaa...RT @Jordy_Valdo Dmm lagi dong laay :( @vanitacrs";Sat;Sep;1;16;4;5;2012;-0.4404
10411;RT @chesterdee: Klo cowo nganggap hubungan  kaya game, bkn brarti dia ga serius.. Toh bnyk kn laki-laki yg justru serius bgt saat maen g ...;Sat;Sep;1;16;6;8;2012;0.0
10412;Kapaksa SG nya juga euy :D haha RT @aldyaryamahira: Yoi Ko :D kan gue mah JKT48 , lagian udah bnyak :D nah elu SG RT @nickoAkbar_: Entar gue;Sat;Sep;1;16;6;50;2012;0.9403
10413;@nisanunut bbnya gak di aku dek hehe;Sat;Sep;1;16;7;42;2012;0.0
10414;RT @m7d_3jbny: @tammyooh <U+062E><U+062E><U+062E><U+062E><U+062E>;Sat;Sep;1;16;8;16;2012;0.0
10415;Ah kangen:'''(RT @oozaaa: Emangggg haha RT mabellalya: Ini HA...=D oja ngetweet 'kgn',yg kepedean bnyk bgt wkwk;Sat;Sep;1;16;9;47;2012;0.4588
10416;Khe temen karibnya kan?RT @AmritaSukma: Kle ngakak bgt =D RT@idaayuputriB: Mbok aligator tp bukan temen sih RT @soal_MUSIK:;Sun;Sep;2;0;5;30;2012;0.6166
10417;"Kecelakaan besarlah pada hari itu bagi orang-orang yang mendustakan." QS.Al-Mursalaat:13,dan diulang sbnyak 10x di dlm surat tsb.;Sun;Sep;2;0;6;46;2012;0.0
10418;Dulu ada conan"@viiaannfeeb: Dulu rating channel indosiar hari minggu tnggi krna bnyk anime yg bagus2. Skrng? Kek taheek!";Sun;Sep;2;0;8;41;2012;0.0
10419;Iy bg. Trmsuk t2n agakny! Tp b'usaha tgar! RT @Riodjunit: Ah masssa... RT @titin_novita Ya ampun bnyak yg galau... Hdup it ap2 yg bwt nyesek;Sun;Sep;2;0;8;48;2012;0.0
10420;RT @YukiK_AR: Rin-- ah, tidak! YUKI~ :p /gaploked RT @Vocaloid_ID: #jawabasal Mana yang lebih beruntung nasibnya: Rin/Len ?;Sun;Sep;2;0;10;27;2012;0.3164
10421;Mw nya jg gt cuy... Tp gw ga segahar itu jg kaleee..@dika_uhuii: @viniefahlevi lah bnyak aja,,knp g bkn silusin j skalian:D..";Sun;Sep;2;0;11;53;2012;0.2732
10422;Ulangan apa sih? "@VanIscandar: Bsk ini ulangan, trs prnya bnyk yaah. Cukstawza ((:";Sun;Sep;2;0;13;25;2012;0.0
10423;@iqbaale percuma mention bnyak2 ke iqbaal,akhirnya juga g dibales2 sama iqbaal. Elah baal,kasoh kesempatan 1 kali aja kek buat aku;Sun;Sep;2;0;14;25;2012;0.0
10424;bnyk tugas, pusing mikirinnya RT @_Misschikaaa: kenapa?"RahmatIsmail_23: lg kurang sehat ni kak? RT (cont) http://t.co/mBNRHvQ4;Sun;Sep;2;0;18;23;2012;0.0
10425;@nunikhardia @Mochhielman @ankeedonkey  memuaskan si gak, tp paling engga gw ada kerjaan dsni, dan pny bnyk crita konyol hahaha;Sun;Sep;2;0;19;36;2012;0.5574
10426;tweet bnyk2x then delete motif ??;Sun;Sep;2;0;22;14;2012;0.0
10427;Oo gdlck! :* ahh bnyk cerita nih ekskul cheers dsini, bbm ya RT"@leotihdni: Basket dit xixixi :* RT @anditaawidiia: Hari minggu ke sklh jg c;Sun;Sep;2;0;24;35;2012;0.8858
10428;Pagi ini.......bnyk aja rasanya, perut gue sprt biasa,perasaan gue juga gitu, mimpi2 aneh gak jelas-_- dan lain2nya yg gak bisa gue sbtn :x;Sun;Sep;2;0;26;7;2012;0.0
10429;@1337_Zero @Uatrash yabny el 7ak sema mn semat el sha3b el masry 5ososan wl 3araby 3omoman;Sun;Sep;2;0;27;35;2012;0.0
10430;Sumpah jahat bgt lo yg ngambil bbnya!!!!!!!parah bgt lo!jing;Sun;Sep;2;0;28;19;2012;0.0
10431;Kalau dah 4 jam satu rumah . Memang esok lah jawabnya balik :p;Sun;Sep;2;8;25;29;2012;0.25
10432;Ngarettttttttttnya bnyk bgt -,,,-;Sun;Sep;2;8;28;1;2012;0.0
10433;@ZeeAshilla ini bnyk hatersnya suara kaya tukang tahu gejrot. Modal uang doang feat sama LC. Dan ga banget deh artis kaya lu. ! Yuhh;Sun;Sep;2;8;28;6;2012;0.0
10434;@ShinYeong_WS oohh.. hhah xD emg yg beli bnyk ya??;Sun;Sep;2;8;29;46;2012;0.6322
10435;Ann kini menyukai hal-hal yang berbau Jerman, apa sebabnya? Cari tahu yuk di #PBC #IchUndDeutschland http://t.co/j5hSgKuP;Sun;Sep;2;8;30;2;2012;0.0
10436;@ekyn_elixir haha kelakar ekin. Bukan bnyak pun.;Sun;Sep;2;8;31;30;2012;0.4588
10437;@Febyrvn dihh bkn masa kosidahan bnyk yg nganterin anak'a;Sun;Sep;2;8;32;11;2012;0.0
10438;Jauh men RT @my_supersoccer: Yaiyalah. Hobi City yg paling baru: bkin bnyk fans-ny gk tenang tiap pertandingan.Pengen nyamain United kali ya;Sun;Sep;2;8;34;18;2012;0.4215
10439;-____- RT @nawons: Knp unn? RT @_Siwonest: Linaaa jwbnya errrrr RT @nawons: Tua RT @Tweetnesian: #IndonesianTeensBio phobia sama ?;Sun;Sep;2;8;36;34;2012;-0.4515
10440;Q.Q apes amat! Kan lo yg ngasih alamat webnyaaa "O|¯|_ RT @Fadhello: @epitepit Lo salah daftar ke web phising kali wkwkwk;Sun;Sep;2;8;36;54;2012;0.0
10441;Minta apa dek minta haha rT"@annisaadd: pen minta fbnya kate deh-_-pen tau messagenyaaaaa:o";Sun;Sep;2;8;36;57;2012;0.4588
10442;@nisauliams wkwk ak sma bela 4p jwbnya xD lol;Sun;Sep;2;8;37;50;2012;0.765
10443;Wid @widyadarman marie bnyk yg suka tuh wakak hmm;Sun;Sep;2;8;43;23;2012;0.0
10444;Ooh pantesan. ga nongol sama sekali dia dr kemarin tumben bgt gitu RT @sabiraramadhani: Ryan bbnya (cont) http://t.co/ZF2hIqvO;Sun;Sep;2;8;46;35;2012;0.0
10445;RT @soal_KPOP: My Valentine (OST. DH1) itu dibnyanyiin sama Taecyeon, Nichkhun dan Park Jinyoung aka JYP #jawabantestKPOPers;Sun;Sep;2;8;46;51;2012;0.0
10446;Tapi paling bnyk lu <U+01AA>(°<U+0361><U+25BF><U+25BF><U+25BF><U+25BF><U+25BF><U+25BF>°")<U+0361><U+01AA> @mrezinugraha;Sun;Sep;2;8;48;27;2012;0.0
10447;@ZeeAshilla td shivers bnyk yg dateng kan shil ampe penuh....;Sun;Sep;2;8;49;0;2012;0.0
10448;RT @octavianins: Kaka lo bukannya cowo yas? RT @tyaswidya: haha ucet dah kenyataan men!:p RT @octavianins: Jgn kbnyakan ngekhayal neng R ...;Sun;Sep;2;8;49;39;2012;0.5093
10449;haha yaudah deh, tp bnyk ni bsk yg dtgRT @dielafitriyni @putrimeilind bah haha malas kak-.-;Sun;Sep;2;8;49;47;2012;0.7184
10450;RT @blogdokter: Tubuh mmproduksi melatonin yg merupakan zat anti kanker pd saat tidur dlm suasana gelap. Ini sebabnya kudu matiin lampu  ...;Sun;Sep;2;16;45;33;2012;-0.3182
10451;Setahu gw kbnykn gym gt bro, masak gym lagunya ebiet g.ade? (`<U+25BD>´)--s "@Rocky_L_84: Buset. Ini gym apa club ya?";Sun;Sep;2;16;45;46;2012;0.3527
10452;Itu sebabnya gw ga suka melihat seorang dewa "direndahkan"... Sbnrnya beliau sndr sih yg membuat dirinya jadi bgitu..;Sun;Sep;2;16;46;30;2012;0.0
10453;RT @Lil_Benben: ada org hack twitter q n tweet something :'( nnt bnyk g salah phm. :'(;Sun;Sep;2;16;46;49;2012;-0.7506
10454;RT @asmanadia: Kita sering menunjukkan bukti cinta dan memberi tll bnyk pd org lain, lupa Allah,ortu,  saudara yg lbh berhak menerima bu ...;Sun;Sep;2;16;47;50;2012;0.0
10455;Bagus dong. Drpd lu dipasaran bnyk wkwk peace :p "@caerunnisa: Iya saking uniknya jdi langka. Wkwk RT nandahutamip: Gue mah bukan aneh. Tp;Sun;Sep;2;16;48;0;2012;0.6705
10456;@miasephia ahahaha. :p bnyk la tu kan.? Eh.;Sun;Sep;2;16;50;4;2012;0.25
10457;Wihh klubnya samsir alam cs visse di siarin nih di tv one;Sun;Sep;2;16;50;33;2012;0.0
10458;Namanya sama, klubnya beda. #VanPersieFC;Sun;Sep;2;16;50;34;2012;0.0
10459;Bisa jw gr2 angin RT @ade_onigiri: Prsaan perut kembung tuh krna bnyak minum nit... Hehe RT @anitapajrina: Haha kd usah gin...takut kembung;Sun;Sep;2;16;51;10;2012;0.6808
10460;@nuraininunun a'ah kott dia ada bnyak.aku pn tak tau sangat..haha 
ouch,terima kasih nunun terharu saya :D
Kerabat2 lame x jumpe lg pun;Sun;Sep;2;16;52;4;2012;0.3034
10461;RvP juga hattrick gan RT @siCaur Udah bnyak tanda2 kalah tuh RT @dimasminzu baru menit 74 bro RT @siCaur kalah bro RT @dimasminzu gila schol;Sun;Sep;2;16;53;45;2012;0.0
10462;RT @asmanadia: Kita sering menunjukkan bukti cinta dan memberi tll bnyk pd org lain, lupa Allah,ortu,  saudara yg lbh berhak menerima bu ...;Sun;Sep;2;16;54;12;2012;0.0
10463;ia fan. .btl jg kta kmu ttu. . pana aku a. RT @fanny07_ Jgn dsuk'n k hti.. Kita jauh lebih bruntung dri kbnykan org :D  RT @vinnaSiiRang: ia;Sun;Sep;2;16;54;30;2012;0.7456
10464;Kasiaaan gue dong lg bnyak yg menemani :p wakakak RT @diahwdynt: @ellenfaradilla bodo ah ji, gak ada temen nih..;Sun;Sep;2;16;55;16;2012;0.25
10465;van persie epceh barusan lapor ke kecamatan setempat mau mindahin klubnya dari london ke manchester :hammer;Sun;Sep;2;16;56;40;2012;0.0
10466;Yuhuuu mogekk :* RT @GekBiintang: Bso mlm siapkan duit yg lbh bnyk ya!,ayo kita main krtu lg:D hhe @junkmierah @junkulandrd @gekintendw;Sun;Sep;2;16;56;49;2012;0.3382
10467;Sakitima', ketawaima' "@Tamtam00v: II<U+0251>II<U+0251>II<U+0251> RT @Widytiew: Dak heran jak :p RT @Tamtam00v: II<U+0251>II<U+0251>II<U+0251> iya, bnyk mi krban.y RT @Si_kumiss: :D;Sun;Sep;2;16;57;25;2012;0.7213
10468;@xamiryatx ala...nnti rayuan dpat gak..still ad hope an.. mcam ak ni len ar.. taun dpan la jwabnya..;Sun;Sep;2;16;59;6;2012;0.4404
10469;@agustinatanoto karma ku ud bnyk.. Jgn d tmbh" lgi y... Haha;Sun;Sep;2;17;0;31;2012;0.4588
10470;@jonxxn die jd the new "berbatov" la jwbnye nnti..;Sun;Sep;2;17;0;54;2012;-0.5994
10471;Bijak skli Bung Angel..hahaa.. Lu dah plg? RT @caitlinangelle: Syukuri wehh itu lemak ,masi bnyk org menderita ... http://t.co/fEqgQke8;Sun;Sep;2;17;1;55;2012;0.0
10472;@erniesyazween aweenn,amik gmbr bnyak2,,aku nk tgk...jgn amik kiy je,,amik kolej2 lain jgk :p;Sun;Sep;2;17;2;45;2012;0.25
10473;@evabarchia enak sih pas liburan aja Va haha kan rame tuh, bnyk pengunjung... Nah untung jg lmyn wk;Sun;Sep;2;17;4;11;2012;0.3818
10474;Ga jhon, mw coba ke ekonomi aja #eeaa (•<U+0361><U+032F>.•<U+0361><U+032F>) RT @Ressa_Azziss: wkwk..mnding sastra aj bnyak twe twe jhon :p RT @ku_nizarr Mau ngeceng;Sun;Sep;2;17;5;14;2012;0.25
10475;RT @umamkha: Ntar juga nasibnya rvp sama kayak berbatop, beli mahal jual murah :P cih~ eeeaaa eeeaaa;Sun;Sep;2;17;7;29;2012;0.4084
10476;Gk bnyak sih gocap aja"@RifkiNugrahaMO: Dari mo, brapa? RT "@PutriAdhia: Oh bhsa dri mna? Pajak dolo dong;)"@RifkiNugrahaMO: Bahasa baru :P;Sun;Sep;2;17;7;30;2012;0.4754
10477;huaha yoi, tdi bnyk meremehkan, pas menang bkin status rvp haha RT @alanmramlan: Yoi bang, fairplay toh bang, mau mnang atau kalah hahaha;Sun;Sep;2;17;8;19;2012;0.765
10478;Tnang aja bi,, gua udh menguasai bnyak jurus neh,. Haha RT @bangKibs: @sanzan_shinichi @dimas_dimsu dimas makin tangguh hati hati lu san hha;Mon;Sep;3;1;30;0;2012;0.4588
10479;Oh yaudah terserah manda aja "@amandalfaiz: @mithapriliani iyoo tp aku mah ga ambil ahh kberatan nih bnyk sks yg 3";Mon;Sep;3;1;30;9;2012;0.0
10480;Inget jaman sma, yg deket2 mah bnyak yg gugur jga banyak lah jaman skrng mw dket sma org aja mikir2 dlu *tkut gosip :D;Mon;Sep;3;1;36;11;2012;0.6166
10481;Pemakan kimcil (<U+02D8><U+06A1><U+02D8>) T @ArditaYuni: Msh bnyk kimcil ! #ehh RT @TovanAdypermana: Hahaha apa sih, masih banyak kok :p;Mon;Sep;3;1;36;47;2012;0.7088
10482;@FarahinMustaffa ad bnyk..;Mon;Sep;3;1;37;5;2012;0.0
10483;RT @setanromantis: Jujur, kamu adalah orang yg aneh. Dan Itu sebabnya aku mencintai kamu.;Mon;Sep;3;1;37;18;2012;0.0
10484;Gak pa2 dekRT @MayyAzzahra: Mb bbnya knp ?kok ganti mas topik ?:O T @onedmuk: Ya allahh,,,di rmh biasa2 aja knpa dsini jd mw pinsan (<U+02D8><U+0283><U+01AA><U+02D8>);Mon;Sep;3;1;38;54;2012;0.0
10485;Diem lu  -__- RT @De_te Nasi uduk lo krang bnyak yeeRT @JunieCrawford: Ngambek Time -____-;Mon;Sep;3;1;39;43;2012;0.0
10486;Lu juga yoo.... Makanya gw lagi ngikutin saran lu nih,belajar ngaji,biar paling dpn sabnya yo RT @riyopuccino: kebanyakan terasi monnRT @Jam;Mon;Sep;3;1;50;29;2012;0.0
10487;@citizen_dENzel Denzel?!!please what have i done??its been ages!;Mon;Sep;3;1;50;35;2012;0.0
10488;RT @MPP_BigFam: 2012 welecome to MPP| 2011 selamat adik barunya| 2010 sukses trs jobnya| 2009 selamat dasi barunya| 2008 semangat PA nya ...;Mon;Sep;3;1;51;31;2012;0.0
10489;Followed jeng , bnyaak amat tweetnyo :d RT @ajengpril: @olinSRD kak olin folback, akun baru<U+263A>;Mon;Sep;3;1;53;44;2012;0.5106
10490;Ada yang tanya..Kok bisa lunak dan lembut sih daging dan kulit kalkun gorengnya? | hmmmm...gimana ya menjawabnya...| hmmmmm..;Mon;Sep;3;1;53;52;2012;0.0
10491;Baik, cm lg capek aja bnyk tgs RT @Yunitaanggi: apa kabaar nih?RT @Anggita_Gitaaa: {} RT @Yunitaanggi: soree giit RT @Anggita_Gitaaa: Soree;Mon;Sep;3;9;50;9;2012;0.0
10492;Iyaa sampe kapan d dps? RT @Oyick_: Masak banyak mbok ? Ini br nyampe denpasar :D "@Milaa_MeyLaa: Haha :* sini pulang bnyk partus lo “@Oyick;Mon;Sep;3;9;50;52;2012;0.8977
10493;@geraldinecds nilai dia jlk abis itu dia ksh th nilai Dina trs Kt nyokabnya cnth si Dina intinya dia gak blh main twitter selama 1week;Mon;Sep;3;9;52;20;2012;0.0
10494;RT @Madrid_Indo: Untuk teman-teman yang bertanya ada apa dengan CR7, admin akan menjawabnya. Disimak ya :);Mon;Sep;3;9;53;11;2012;0.4588
10495;RT @TipsUntukAnda: Please deh gw udh jaga hati lo dr sini tp lo malah bnyk alasan sama gw dan gw dpt kabar dr temen lo katanya lo udh pn ...;Mon;Sep;3;9;53;54;2012;0.3182
10496;Io, ja muncul di TL nda knal. Kita le berencana ini "@nathazyaCL: Ndaa, tllu bnyk org2 yg qt na knl leh.. Malas RT @INdri_GODZ: kyapa nga tu;Mon;Sep;3;9;54;54;2012;0.4215
10497;@amad_azim aku bnyk kenal tokan batu. hg ckp ja hg nk dadah jenis ap kaler ap. semua ada. haha;Mon;Sep;3;9;56;5;2012;0.4588
10498;Giliran kgk org bnyak tamu yg dtg <U+0429>(º<U+0414>º<U+0449>);Mon;Sep;3;9;57;5;2012;0.0
10499;@aghniaKassie norwegian woodnya ketemu, tinggal nunggu antrian download aja yah ;)) soalnya masih bnyk nih incerannya huehehe;Mon;Sep;3;9;58;23;2012;0.0
10500;foolower bnyk tetap tak cantik tetap tak kacak..jgn perasan bebekan plis...;Mon;Sep;3;9;58;29;2012;0.0
10501;hujan debu ya?? kok gua pulang bnyk debu gini nih rmh??;Mon;Sep;3;9;59;7;2012;0.0
10502;t*iiiiii emg! Blm kalobsk ul mat , zz , blm BI"@sesiliantyTJ_: Biology manteep men kurang bnyk bahannyaa (•<U+0336><U+0336><U+0336><U+02D8><U+25BF><U+0336><U+0336><U+0336><U+25BF><U+0336><U+0336><U+0336><U+25BF><U+0336><U+0336><U+0336><U+25BF><U+0336><U+0336><U+0336><U+02D8>•<U+0336><U+0336><U+0336>)\m/";Mon;Sep;3;9;59;11;2012;0.0
10503;86 8.1.10 :) RT @SastraWira: Hati2 bnyak pemalsuan bpkb meraja...cermat dlm bersikap,kesempatan bkn trjadi (cont) http://t.co/TtcgY6ad;Mon;Sep;3;9;59;26;2012;0.1027
